pixel_id,latitude,longitude,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,2026-01-01
11,37.0,75.25,69.33302,67.867676,66.48518,76.28429,67.850266,61.39055,59.65306,71.46503,66.68812,78.51468,64.07146,73.923035,68.81799,67.29317,61.459198,70.364914,65.54381,73.36859,69.83586,64.81526,55.684223,56.9819,63.310883,70.63518,71.981186,81.47984,61.39955,84.302124,71.765854,62.71772,62.29091,76.37276,62.710297,64.96271,62.689144,56.265244,76.346924,61.226837,70.01671,72.38515,50.02323,70.0121,74.23561,54.605423,61.236374,65.02675
12,37.0,75.5,63.790054,60.311035,59.87581,67.47179,60.067062,54.601486,53.586655,63.67987,58.453743,68.26077,57.82927,65.286316,61.42737,60.46309,55.508026,62.173508,58.1317,64.083435,65.22453,58.305496,49.50649,51.435024,57.62143,63.29338,63.13939,72.78453,53.782364,75.37048,63.16429,56.270454,55.23622,67.4001,55.53647,57.068176,55.82391,51.021103,68.93286,54.775665,63.79796,64.8246,45.218544,61.814835,67.511,49.44722,55.003952,59.087296
13,37.0,75.75,61.122086,57.475098,56.737137,63.575302,56.406906,51.455,50.24681,60.63495,54.498665,63.735382,54.258957,62.30194,59.33362,57.396683,52.400604,58.679367,54.635605,59.483826,64.6425,55.436356,47.07485,50.597134,55.281586,59.408615,59.891342,67.9232,54.262833,72.20447,64.21898,52.225533,52.22255,63.288773,52.884125,54.43341,52.527035,48.608994,65.69458,51.006134,61.24327,61.79335,45.851357,59.60585,65.78444,46.300735,53.255905,57.542374
14,37.0,76.0,60.71779,56.74463,56.080887,65.06554,56.18425,51.462814,50.09642,61.834167,54.705696,64.00101,53.981613,62.534363,61.964478,58.683792,52.93576,60.50554,55.07115,58.452576,64.706955,55.23909,47.578754,51.796352,54.4769,58.91057,59.35814,67.456406,57.794083,73.65369,67.779526,50.819283,53.007706,63.847366,54.41342,55.437317,51.64813,48.28087,64.721924,50.738556,60.14171,62.144913,48.90409,60.947647,66.612564,45.611282,54.01567,57.36464
15,37.0,76.25,56.73146,51.58838,52.367996,62.075302,52.336594,48.042892,47.59056,58.33026,51.254524,59.288116,51.440598,57.23163,58.845337,56.4084,50.37326,57.84343,51.721542,53.876404,59.61711,51.30745,44.64516,48.341274,50.7269,54.726974,54.313217,63.218124,53.13002,69.05017,61.33226,47.56733,49.42958,60.43135,51.673187,50.759583,48.01141,45.31993,59.192627,48.236603,55.200302,58.05507,45.763466,56.41249,62.51686,42.849564,49.918015,52.93495
16,37.0,76.5,52.377945,47.06299,48.787918,56.827255,47.707687,43.06633,43.793686,53.32245,46.291634,53.5596,47.145676,52.13788,53.933228,52.60762,46.449432,52.63835,46.82115,48.71039,56.689377,47.81526,41.2018,44.70651,47.52182,49.490646,49.399155,58.39781,48.47377,64.38025,56.002182,43.739204,45.605362,56.24971,47.423187,45.572083,44.74188,42.151962,54.23755,45.006134,51.69835,53.703506,42.167763,51.51796,58.501236,39.01558,46.69536,49.893936
17,37.0,76.75,50.90724,45.56299,47.25276,54.001083,45.54753,40.624924,41.537827,51.22284,44.4889,51.063507,44.35466,51.003113,53.71057,50.943558,44.91623,51.310226,44.80748,45.632263,58.021408,47.655106,40.20766,44.73776,46.592133,47.56096,47.213608,56.09703,49.76674,63.653687,56.65062,40.778267,45.339737,54.708694,46.657562,44.66388,43.028988,41.105087,52.999268,43.81668,51.23741,52.7621,43.08378,50.734756,58.55397,36.861282,47.252,49.600967
18,37.0,77.0,48.565445,42.117676,44.373856,50.41124,42.87761,38.589767,39.586655,47.97284,42.799446,46.76468,41.907394,47.260925,52.737915,48.049026,43.158417,50.726242,42.868027,41.347107,56.07219,45.72151,38.08266,44.16354,44.72885,45.269943,43.172592,51.030624,48.737442,58.91931,52.549057,37.471626,43.880753,51.51924,45.63803,42.136536,39.884457,39.54454,49.56372,42.17801,48.514755,49.75038,42.544716,48.338272,56.930923,35.42183,44.617233,46.110733
19,37.0,77.25,46.33693,38.902832,42.112137,47.665146,41.188156,36.701096,38.750717,45.183777,40.279915,42.82132,40.212082,42.85663,49.96057,45.61934,41.709198,49.18718,41.518417,38.31781,53.320236,43.504715,35.52602,42.77096,43.287445,42.828537,39.69017,45.636093,45.696426,53.001343,47.28734,36.16108,42.787003,48.915726,44.06967,39.503723,37.716488,38.63829,45.434814,40.52176,46.163193,46.08632,40.312294,46.36757,53.719986,35.164017,40.798874,42.419327
20,37.0,77.5,46.66896,38.480957,42.58284,47.69835,41.75261,36.226486,39.3972,45.656433,38.824837,42.75296,40.30974,42.174988,49.1344,46.336136,42.24826,48.659836,42.45787,38.6557,53.999924,44.12776,34.836567,43.073696,43.46518,42.982834,39.64525,44.18492,45.06166,51.276733,47.330307,36.997017,44.570206,49.28682,44.57553,40.53888,37.4743,39.685165,44.698486,40.18582,47.100693,45.90663,39.84745,48.078506,52.782486,36.324173,40.255905,42.323624
