valid_time,latitude,longitude,r
1981-01-01 00:00:00,36.25,76.75,66.57521
1981-01-01 00:00:00,36.25,77.0,61.338882
1981-01-01 00:00:00,36.25,77.25,58.610367
1981-01-01 00:00:00,36.25,77.5,57.795914
1981-01-01 00:00:00,36.25,77.75,56.235367
1981-01-01 00:00:00,36.25,78.0,54.247086
1981-01-01 00:00:00,36.25,78.25,52.202164
1981-01-01 00:00:00,36.25,78.5,51.258804
1981-01-01 00:00:00,36.25,78.75,51.065445
1981-01-01 00:00:00,36.25,79.0,47.745132
1981-01-01 00:00:00,36.25,79.25,44.020523
1981-01-01 00:00:00,36.25,79.5,46.448257
1981-01-01 00:00:00,36.25,79.75,49.84279
1981-01-01 00:00:00,36.25,80.0,47.627945
1981-01-01 00:00:00,36.25,80.25,46.338882
1981-01-01 00:00:00,36.25,80.5,49.477554
1981-01-01 00:00:00,36.25,80.75,49.723648
1981-01-01 00:00:00,36.25,81.0,46.159195
1981-01-01 00:00:00,36.0,72.5,73.42091
1981-01-01 00:00:00,36.0,72.75,72.80373
1981-01-01 00:00:00,36.0,73.0,73.92677
1981-01-01 00:00:00,36.0,73.25,76.83693
1981-01-01 00:00:00,36.0,73.5,75.12404
1981-01-01 00:00:00,36.0,73.75,71.696304
1981-01-01 00:00:00,36.0,74.0,73.653336
1981-01-01 00:00:00,36.0,74.25,76.92482
1981-01-01 00:00:00,36.0,74.5,75.51466
1981-01-01 00:00:00,36.0,74.75,74.18654
1981-01-01 00:00:00,36.0,75.0,77.31154
1981-01-01 00:00:00,36.0,75.25,80.76857
1981-01-01 00:00:00,36.0,75.5,81.65724
1981-01-01 00:00:00,36.0,75.75,80.93068
1981-01-01 00:00:00,36.0,76.0,78.84279
1981-01-01 00:00:00,36.0,76.25,76.61818
1981-01-01 00:00:00,36.0,76.5,75.30373
1981-01-01 00:00:00,36.0,76.75,73.86427
1981-01-01 00:00:00,36.0,77.0,72.67091
1981-01-01 00:00:00,36.0,77.25,70.70021
1981-01-01 00:00:00,36.0,77.5,64.309586
1981-01-01 00:00:00,36.0,77.75,56.766617
1981-01-01 00:00:00,36.0,78.0,54.84279
1981-01-01 00:00:00,36.0,78.25,55.877945
1981-01-01 00:00:00,36.0,78.5,54.2256
1981-01-01 00:00:00,36.0,78.75,51.215836
1981-01-01 00:00:00,36.0,79.0,49.31154
1981-01-01 00:00:00,36.0,79.25,48.983414
1981-01-01 00:00:00,36.0,79.5,50.34474
1981-01-01 00:00:00,36.0,79.75,50.56935
1981-01-01 00:00:00,36.0,80.0,48.13771
1981-01-01 00:00:00,36.0,80.25,47.07521
1981-01-01 00:00:00,36.0,80.5,48.485367
1981-01-01 00:00:00,36.0,80.75,48.370132
1981-01-01 00:00:00,36.0,81.0,46.723648
1981-01-01 00:00:00,35.75,72.5,70.46974
1981-01-01 00:00:00,35.75,72.75,70.03615
1981-01-01 00:00:00,35.75,73.0,71.653336
1981-01-01 00:00:00,35.75,73.25,73.17482
1981-01-01 00:00:00,35.75,73.5,69.84474
1981-01-01 00:00:00,35.75,73.75,65.83888
1981-01-01 00:00:00,35.75,74.0,68.778336
1981-01-01 00:00:00,35.75,74.25,74.9756
1981-01-01 00:00:00,35.75,74.5,76.04591
1981-01-01 00:00:00,35.75,74.75,74.96388
1981-01-01 00:00:00,35.75,75.0,77.997086
1981-01-01 00:00:00,35.75,75.25,81.39162
1981-01-01 00:00:00,35.75,75.5,80.74123
1981-01-01 00:00:00,35.75,75.75,79.46974
1981-01-01 00:00:00,35.75,76.0,80.315445
1981-01-01 00:00:00,35.75,76.25,81.26076
1981-01-01 00:00:00,35.75,76.5,81.20021
1981-01-01 00:00:00,35.75,76.75,82.03224
1981-01-01 00:00:00,35.75,77.0,84.65724
1981-01-01 00:00:00,35.75,77.25,84.50685
1981-01-01 00:00:00,35.75,77.5,76.54396
1981-01-01 00:00:00,35.75,77.75,65.96388
1981-01-01 00:00:00,35.75,78.0,61.77443
1981-01-01 00:00:00,35.75,78.25,61.264664
1981-01-01 00:00:00,35.75,78.5,57.102554
1981-01-01 00:00:00,35.75,78.75,52.03029
1981-01-01 00:00:00,35.75,79.0,51.56935
1981-01-01 00:00:00,35.75,79.25,53.678726
1981-01-01 00:00:00,35.75,79.5,54.33693
1981-01-01 00:00:00,35.75,79.75,53.077164
1981-01-01 00:00:00,35.75,80.0,51.46193
1981-01-01 00:00:00,35.75,80.25,51.2881
1981-01-01 00:00:00,35.75,80.5,51.98732
1981-01-01 00:00:00,35.75,80.75,50.809586
1981-01-01 00:00:00,35.75,81.0,47.95607
1981-01-01 00:00:00,35.5,72.5,66.76662
1981-01-01 00:00:00,35.5,72.75,68.29396
1981-01-01 00:00:00,35.5,73.0,70.89357
1981-01-01 00:00:00,35.5,73.25,70.23537
1981-01-01 00:00:00,35.5,73.5,66.571304
1981-01-01 00:00:00,35.5,73.75,65.29787
1981-01-01 00:00:00,35.5,74.0,68.53029
1981-01-01 00:00:00,35.5,74.25,73.32912
1981-01-01 00:00:00,35.5,74.5,76.15529
